year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio
2023,Senior,Full-time,Data Scientist,245000,Full remote
2023,Senior,Full-time,Data Scientist,275300,Full remote
2023,Senior,Full-time,Data Scientist,183500,Full remote
2023,Senior,Full-time,Data Scientist,218500,Full remote
2023,Senior,Full-time,Data Scientist,199098,Full remote
2023,Senior,Full-time,Data Engineer,203300,Full remote
2023,Senior,Full-time,Data Engineer,123600,Full remote
2023,Senior,Full-time,Research Engineer,189110,On-site work
2023,Senior,Full-time,Research Engineer,139000,On-site work
2023,Executive,Full-time,Data Scientist,258750,On-site work
2023,Executive,Full-time,Data Scientist,185000,On-site work
2023,Senior,Full-time,Data Engineer,231500,Full remote
2023,Senior,Full-time,Data Engineer,166000,Full remote
2023,Senior,Full-time,Data Scientist,172500,Full remote
2023,Senior,Full-time,Data Scientist,110500,Full remote
2023,Senior,Full-time,Data Engineer,238000,On-site work
2023,Senior,Full-time,Data Engineer,176000,On-site work
2023,Senior,Full-time,Data Engineer,237000,Full remote
2023,Senior,Full-time,Data Engineer,201450,Full remote
2023,Senior,Full-time,Applied Scientist,309400,On-site work
2023,Senior,Full-time,Applied Scientist,159100,On-site work
2023,Senior,Full-time,Data Engineer,115000,On-site work
2023,Senior,Full-time,Data Engineer,81500,On-site work
2023,Senior,Full-time,Data Scientist,237000,Full remote
2023,Senior,Full-time,Data Scientist,201450,Full remote
2023,Senior,Full-time,Computer Vision Engineer,280000,On-site work
2023,Senior,Full-time,Computer Vision Engineer,210000,On-site work
2023,Senior,Full-time,Data Architect,280100,Full remote
2023,Senior,Full-time,Data Architect,168100,Full remote
2023,Senior,Full-time,Data Engineer,193500,Full remote
2023,Senior,Full-time,Data Engineer,139000,Full remote
2023,Mid-level,Full-time,Data Scientist,65062,On-site work
2023,Senior,Full-time,Machine Learning Engineer,150000,Full remote
2023,Mid-level,Full-time,Applied Machine Learning Engineer,69751,Full remote
2022,Entry-level,Full-time,AI Developer,300000,Partially remote
2023,Mid-level,Full-time,Machine Learning Engineer,96578,Full remote
2023,Senior,Full-time,Business Intelligence Engineer,185900,On-site work
2023,Senior,Full-time,Business Intelligence Engineer,129300,On-site work
2023,Senior,Full-time,Data Engineer,225000,Full remote
2023,Senior,Full-time,Data Engineer,175000,Full remote
2023,Senior,Full-time,Data Engineer,185000,On-site work
2023,Senior,Full-time,Data Engineer,140000,On-site work
2023,Senior,Full-time,Data Scientist,48289,On-site work
2023,Senior,Full-time,Data Scientist,38631,On-site work
2023,Senior,Full-time,Data Scientist,105000,On-site work
2023,Senior,Full-time,Data Scientist,70000,On-site work
2023,Entry-level,Full-time,Machine Learning Engineer,163196,On-site work
2023,Entry-level,Full-time,Machine Learning Engineer,145885,On-site work
2023,Senior,Full-time,Data Engineer,217000,Full remote
2023,Senior,Full-time,Data Engineer,185000,Full remote
2023,Senior,Full-time,Data Analyst,202800,On-site work
2023,Senior,Full-time,Data Analyst,104300,On-site work
2023,Senior,Full-time,Data Analyst,145000,On-site work
2023,Senior,Full-time,Data Analyst,65000,On-site work
2023,Senior,Full-time,Data Engineer,165000,On-site work
2023,Senior,Full-time,Data Engineer,132300,On-site work
2023,Senior,Full-time,Data Engineer,179170,On-site work
2023,Senior,Full-time,Data Engineer,94300,On-site work
2023,Senior,Full-time,Analytics Engineer,152500,On-site work
2023,Senior,Full-time,Analytics Engineer,116450,On-site work
2023,Senior,Full-time,Data Engineer,247300,On-site work
2023,Senior,Full-time,Data Engineer,133800,On-site work
2023,Senior,Full-time,Research Engineer,203000,On-site work
2023,Senior,Full-time,Research Engineer,133000,On-site work
2023,Entry-level,Full-time,Research Scientist,220000,Partially remote
2022,Entry-level,Full-time,Machine Learning Engineer,56536,Full remote
2023,Senior,Full-time,Data Scientist,150000,On-site work
2023,Senior,Full-time,Data Scientist,120000,On-site work
2023,Senior,Full-time,Analytics Engineer,289800,On-site work
2023,Senior,Full-time,Analytics Engineer,214000,On-site work
2023,Senior,Full-time,Analytics Engineer,179820,On-site work
2023,Senior,Full-time,Analytics Engineer,143860,On-site work
2023,Senior,Full-time,Machine Learning Engineer,283200,Full remote
2023,Senior,Full-time,Machine Learning Engineer,188800,Full remote
2023,Senior,Full-time,Analytics Engineer,289800,On-site work
2023,Senior,Full-time,Analytics Engineer,214200,On-site work
2023,Senior,Full-time,Data Engineer,185900,On-site work
2023,Senior,Full-time,Data Engineer,129300,On-site work
2023,Senior,Full-time,Data Engineer,252000,On-site work
2023,Senior,Full-time,Data Engineer,129000,On-site work
2023,Mid-level,Full-time,Data Analytics Manager,155000,On-site work
2023,Mid-level,Full-time,Data Analytics Manager,140000,On-site work
2023,Senior,Full-time,Data Engineer,161800,Full remote
2023,Senior,Full-time,Data Engineer,141600,Full remote
2023,Senior,Full-time,Machine Learning Engineer,342300,On-site work
2023,Senior,Full-time,Machine Learning Engineer,176100,On-site work
2023,Mid-level,Full-time,Data Engineer,100000,Full remote
2023,Mid-level,Full-time,Data Engineer,70000,Full remote
2023,Entry-level,Full-time,Data Engineer,85000,On-site work
2023,Entry-level,Full-time,Data Engineer,65000,On-site work
2023,Senior,Full-time,Data Scientist,138784,Full remote
2023,Senior,Full-time,Data Scientist,83270,Full remote
2023,Entry-level,Full-time,Data Analyst,75000,On-site work
2023,Entry-level,Full-time,Data Analyst,70000,On-site work
2023,Senior,Full-time,Data Analyst,204500,On-site work
2023,Senior,Full-time,Data Analyst,138900,On-site work
2023,Senior,Full-time,Machine Learning Engineer,318300,Full remote
2023,Senior,Full-time,Machine Learning Engineer,212200,Full remote
2023,Senior,Full-time,Data Engineer,95000,Full remote
2023,Senior,Full-time,Data Engineer,75000,Full remote
2023,Senior,Full-time,Data Scientist,195000,On-site work
2023,Senior,Full-time,Data Scientist,160000,On-site work
2023,Senior,Full-time,Analytics Engineer,230000,On-site work
2023,Senior,Full-time,Analytics Engineer,143200,On-site work
2023,Mid-level,Full-time,Data Engineer,100000,Full remote
2023,Mid-level,Full-time,Data Engineer,70000,Full remote
2023,Mid-level,Full-time,Business Data Analyst,105000,Partially remote
2023,Mid-level,Full-time,Applied Data Scientist,20670,Full remote
2023,Mid-level,Full-time,Data Analyst,46178,On-site work
2023,Mid-level,Full-time,Data Analyst,42533,On-site work
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,115000,On-site work
2023,Senior,Full-time,Data Analyst,168400,On-site work
2023,Senior,Full-time,Data Analyst,105200,On-site work
2023,Senior,Full-time,Applied Scientist,309400,On-site work
2023,Senior,Full-time,Applied Scientist,159100,On-site work
2023,Senior,Full-time,Machine Learning Engineer,190000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,150000,On-site work
2023,Mid-level,Full-time,Data Engineer,162500,On-site work
2023,Mid-level,Full-time,Data Engineer,130000,On-site work
2023,Senior,Full-time,Analytics Engineer,150000,Full remote
2023,Senior,Full-time,Analytics Engineer,120000,Full remote
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,120000,On-site work
2023,Senior,Full-time,Applied Scientist,222200,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Senior,Full-time,Data Analyst,54685,Full remote
2023,Senior,Full-time,Data Analyst,42533,Full remote
2023,Senior,Full-time,Data Engineer,241000,On-site work
2023,Senior,Full-time,Data Engineer,155000,On-site work
2023,Senior,Full-time,Data Engineer,220000,Full remote
2023,Senior,Full-time,Data Engineer,190000,Full remote
2023,Mid-level,Full-time,Data Scientist,66837,On-site work
2023,Mid-level,Full-time,Data Scientist,54685,On-site work
2020,Executive,Full-time,Staff Data Analyst,15000,On-site work
2023,Mid-level,Full-time,ETL Engineer,85066,Full remote
2023,Mid-level,Full-time,ETL Engineer,57723,Full remote
2023,Entry-level,Full-time,Data Analyst,85000,Full remote
2023,Entry-level,Full-time,Data Analyst,75000,Full remote
2023,Senior,Full-time,Data Engineer,160000,On-site work
2023,Senior,Full-time,Data Engineer,140000,On-site work
2023,Mid-level,Full-time,Machine Learning Engineer,300000,On-site work
2023,Mid-level,Full-time,Machine Learning Engineer,250000,On-site work
2023,Senior,Full-time,Data Scientist,228000,On-site work
2023,Senior,Full-time,Data Scientist,186000,On-site work
2023,Senior,Full-time,Data Scientist,190000,On-site work
2023,Senior,Full-time,Data Scientist,170000,On-site work
2023,Mid-level,Full-time,Research Engineer,230000,On-site work
2023,Mid-level,Full-time,Research Engineer,200000,On-site work
2023,Senior,Full-time,Data Architect,180000,Full remote
2023,Senior,Full-time,Data Architect,115000,Full remote
2023,Senior,Full-time,Data Architect,200000,Full remote
2023,Senior,Full-time,Data Architect,115000,Full remote
2023,Senior,Full-time,Data DevOps Engineer,53654,Partially remote
2023,Executive,Full-time,Data Engineer,220000,On-site work
2023,Executive,Full-time,Data Engineer,205000,On-site work
2023,Mid-level,Full-time,Data Engineer,180000,On-site work
2023,Mid-level,Full-time,Data Engineer,130000,On-site work
2023,Senior,Full-time,Data Engineer,200000,Full remote
2023,Senior,Full-time,Data Engineer,150000,Full remote
2023,Senior,Full-time,Computer Vision Engineer,215000,On-site work
2023,Senior,Full-time,Computer Vision Engineer,170000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,247500,On-site work
2023,Senior,Full-time,Machine Learning Engineer,172200,On-site work
2023,Senior,Full-time,Data Scientist,224000,On-site work
2023,Senior,Full-time,Data Scientist,176000,On-site work
2023,Senior,Full-time,Data Analyst,120000,Full remote
2023,Senior,Full-time,Data Analyst,75000,Full remote
2023,Entry-level,Full-time,Data Engineer,17022,Full remote
2023,Senior,Full-time,Applied Data Scientist,68318,Full remote
2023,Mid-level,Full-time,AI Developer,75020,On-site work
2023,Senior,Full-time,Data Analyst,140000,On-site work
2023,Senior,Full-time,Data Analyst,120000,On-site work
2023,Senior,Full-time,Data Engineer,128000,On-site work
2023,Senior,Full-time,Data Engineer,81500,On-site work
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,115000,On-site work
2023,Senior,Full-time,Data Engineer,185000,On-site work
2023,Senior,Full-time,Data Engineer,140000,On-site work
2023,Executive,Full-time,Head of Data,329500,On-site work
2023,Executive,Full-time,Head of Data,269600,On-site work
2023,Senior,Full-time,Data Quality Analyst,100000,On-site work
2023,Senior,Full-time,Data Quality Analyst,80000,On-site work
2023,Senior,Full-time,Data Scientist,250000,On-site work
2023,Senior,Full-time,Data Scientist,162500,On-site work
2023,Mid-level,Full-time,AI Developer,200000,Full remote
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,100000,On-site work
2023,Executive,Full-time,Data Engineer,145000,On-site work
2023,Executive,Full-time,Data Engineer,115000,On-site work
2023,Senior,Full-time,Data Scientist,203500,On-site work
2023,Senior,Full-time,Data Scientist,152000,On-site work
2023,Senior,Full-time,Data Scientist,239000,On-site work
2023,Senior,Full-time,Data Scientist,122900,On-site work
2023,Senior,Full-time,Data Scientist,237000,On-site work
2023,Senior,Full-time,Data Scientist,145000,On-site work
2023,Senior,Full-time,Data Science Manager,191765,On-site work
2023,Senior,Full-time,Data Science Manager,134236,On-site work
2023,Senior,Full-time,Analytics Engineer,190000,Full remote
2023,Senior,Full-time,Analytics Engineer,112000,Full remote
2022,Senior,Full-time,Data Scientist,88256,Full remote
2023,Entry-level,Full-time,Data Engineer,85000,On-site work
2023,Entry-level,Full-time,Data Engineer,65000,On-site work
2023,Senior,Full-time,Data Analyst,135000,On-site work
2023,Senior,Full-time,Data Analyst,105500,On-site work
2023,Senior,Full-time,Research Engineer,293000,On-site work
2023,Senior,Full-time,Research Engineer,185000,On-site work
2023,Senior,Full-time,Data Analyst,80000,On-site work
2023,Senior,Full-time,Data Analyst,70000,On-site work
2023,Senior,Full-time,Data Engineer,220000,Full remote
2023,Senior,Full-time,Data Engineer,160000,Full remote
2023,Senior,Full-time,Data Scientist,175000,Full remote
2023,Senior,Full-time,Data Scientist,145000,Full remote
2023,Senior,Full-time,Data Analyst,200000,On-site work
2023,Senior,Full-time,Data Analyst,148500,On-site work
2023,Senior,Full-time,Data Scientist,48289,On-site work
2023,Senior,Full-time,Data Scientist,38631,On-site work
2023,Senior,Full-time,Data Engineer,240500,On-site work
2023,Senior,Full-time,Data Engineer,123700,On-site work
2023,Senior,Full-time,Analytics Engineer,152900,Full remote
2023,Senior,Full-time,Analytics Engineer,117100,Full remote
2023,Senior,Full-time,Analytics Engineer,173000,Full remote
2023,Senior,Full-time,Analytics Engineer,113000,Full remote
2023,Senior,Full-time,Applied Scientist,260000,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Executive,Full-time,Data Engineer,175000,On-site work
2023,Executive,Full-time,Data Engineer,110000,On-site work
2023,Senior,Full-time,Applied Scientist,260000,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Senior,Full-time,Research Scientist,130000,Full remote
2023,Senior,Full-time,Research Scientist,110000,Full remote
2023,Senior,Full-time,Applied Scientist,205000,Full remote
2023,Senior,Full-time,Applied Scientist,184000,Full remote
2023,Senior,Full-time,Data Analyst,149500,Full remote
2023,Senior,Full-time,Data Analyst,127075,Full remote
2023,Senior,Full-time,Data Scientist,195000,On-site work
2023,Senior,Full-time,Data Scientist,160000,On-site work
2023,Senior,Full-time,Data Engineer,219535,Full remote
2023,Senior,Full-time,Data Engineer,146115,Full remote
2023,Senior,Full-time,Data Scientist,170000,On-site work
2023,Senior,Full-time,Data Scientist,135000,On-site work
2023,Senior,Full-time,Data Scientist,175000,Full remote
2023,Senior,Full-time,Data Scientist,145000,Full remote
2023,Senior,Full-time,Data Scientist,199000,On-site work
2023,Senior,Full-time,Data Scientist,162000,On-site work
2023,Senior,Full-time,Applied Scientist,222200,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Executive,Full-time,Analytics Engineer,221000,Full remote
2023,Executive,Full-time,Analytics Engineer,153000,Full remote
2023,Senior,Full-time,Data Analyst,187000,On-site work
2023,Senior,Full-time,Data Analyst,128000,On-site work
2023,Senior,Full-time,Research Scientist,210000,On-site work
2023,Senior,Full-time,Research Scientist,136000,On-site work
2023,Senior,Full-time,Data Scientist,175000,Full remote
2023,Senior,Full-time,Data Scientist,100000,Full remote
2023,Senior,Full-time,Data Engineer,179000,On-site work
2023,Senior,Full-time,Data Engineer,109000,On-site work
2023,Senior,Full-time,Data Scientist,245000,On-site work
2023,Senior,Full-time,Data Scientist,180000,On-site work
2023,Senior,Full-time,Data Analyst,142000,Full remote
2023,Senior,Full-time,Data Analyst,75000,Full remote
2023,Senior,Full-time,Data Manager,198800,On-site work
2023,Senior,Full-time,Data Manager,105200,On-site work
2023,Senior,Full-time,Data Analyst,125000,Full remote
2023,Senior,Full-time,Data Analyst,112000,Full remote
2023,Senior,Full-time,Data Scientist,210000,On-site work
2023,Senior,Full-time,Data Scientist,155000,On-site work
2023,Senior,Full-time,Data Manager,115000,Full remote
2023,Senior,Full-time,Data Manager,86000,Full remote
2023,Senior,Full-time,Data Scientist,165000,On-site work
2023,Senior,Full-time,Data Scientist,140000,On-site work
2023,Senior,Full-time,Data Analyst,139000,On-site work
2023,Senior,Full-time,Data Analyst,106000,On-site work
2023,Entry-level,Full-time,Data Analyst,40663,On-site work
2022,Senior,Full-time,AI Developer,275000,On-site work
2023,Senior,Freelance,Machine Learning Researcher,50000,Partially remote
2023,Mid-level,Full-time,Machine Learning Engineer,280700,Full remote
2023,Mid-level,Full-time,Machine Learning Engineer,150450,Full remote
2023,Entry-level,Full-time,Data Scientist,51753,Full remote
2023,Senior,Full-time,Data Architect,250500,On-site work
2023,Senior,Full-time,Data Architect,159500,On-site work
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,115000,On-site work
2023,Senior,Full-time,Data Analyst,140000,On-site work
2023,Senior,Full-time,Data Analyst,120000,On-site work
2023,Entry-level,Full-time,Data Scientist,130001,Full remote
2023,Entry-level,Full-time,Data Scientist,71907,Full remote
2023,Mid-level,Full-time,Data Scientist,93918,Full remote
2023,Mid-level,Full-time,Data Scientist,51962,Full remote
2023,Senior,Full-time,Data Analyst,175000,Full remote
2023,Senior,Full-time,Data Analyst,135000,Full remote
2023,Entry-level,Full-time,Data Engineer,85000,On-site work
2023,Entry-level,Full-time,Data Engineer,65000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,257000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,147000,On-site work
2023,Senior,Full-time,Data Engineer,222000,Full remote
2023,Senior,Full-time,Data Engineer,175000,Full remote
2023,Senior,Full-time,Data Scientist,203000,Full remote
2023,Senior,Full-time,Data Scientist,133200,Full remote
2023,Entry-level,Full-time,Applied Scientist,213660,On-site work
2023,Entry-level,Full-time,Applied Scientist,130760,On-site work
2023,Senior,Full-time,Data Engineer,221000,On-site work
2023,Senior,Full-time,Data Engineer,147000,On-site work
2023,Senior,Full-time,Data Quality Analyst,100000,On-site work
2023,Senior,Full-time,Data Quality Analyst,80000,On-site work
2023,Senior,Full-time,Data Scientist,185900,On-site work
2023,Senior,Full-time,Data Scientist,129300,On-site work
2023,Senior,Full-time,Data Scientist,238000,Full remote
2023,Senior,Full-time,Data Scientist,156000,Full remote
2023,Senior,Full-time,Machine Learning Engineer,304000,Full remote
2023,Senior,Full-time,Machine Learning Engineer,199000,Full remote
2023,Mid-level,Full-time,Big Data Engineer,48289,Full remote
2023,Senior,Full-time,Data Engineer,150000,On-site work
2023,Senior,Full-time,Data Engineer,130000,On-site work
2023,Senior,Full-time,Data Scientist,140000,Full remote
2023,Senior,Full-time,Data Scientist,110000,Full remote
2023,Mid-level,Full-time,Data Analyst,90000,On-site work
2023,Mid-level,Full-time,Data Analyst,75000,On-site work
2023,Mid-level,Full-time,Research Scientist,195895,On-site work
2023,Mid-level,Full-time,Research Scientist,102772,On-site work
2023,Senior,Full-time,Data Engineer,240000,On-site work
2023,Senior,Full-time,Data Engineer,183600,On-site work
2023,Mid-level,Full-time,Data Specialist,130000,On-site work
2023,Mid-level,Full-time,Data Specialist,80000,On-site work
2023,Senior,Full-time,Data Engineer,250000,On-site work
2023,Senior,Full-time,Data Engineer,150000,On-site work
2023,Senior,Full-time,Data Analytics Manager,160000,Full remote
2023,Senior,Full-time,Data Analytics Manager,120000,Full remote
2023,Senior,Full-time,Machine Learning Engineer,289076,On-site work
2023,Senior,Full-time,Machine Learning Engineer,202353,On-site work
2023,Senior,Full-time,Data Engineer,145000,On-site work
2023,Senior,Full-time,Data Engineer,120000,On-site work
2023,Senior,Full-time,Data Analyst,155000,On-site work
2023,Senior,Full-time,Data Analyst,106000,On-site work
2023,Senior,Full-time,Data Engineer,200000,On-site work
2023,Senior,Full-time,Data Engineer,160000,On-site work
2023,Senior,Full-time,Data Scientist,157750,Full remote
2023,Senior,Full-time,Data Scientist,104650,Full remote
2023,Mid-level,Full-time,Data Scientist,180000,Full remote
2023,Mid-level,Full-time,Data Scientist,140000,Full remote
2023,Executive,Full-time,Data Scientist,200000,On-site work
2023,Executive,Full-time,Data Scientist,145000,On-site work
2023,Mid-level,Full-time,Lead Data Analyst,68000,On-site work
2023,Entry-level,Full-time,BI Data Engineer,60000,Full remote
2023,Senior,Full-time,Data Scientist,48289,On-site work
2023,Senior,Full-time,Data Scientist,38631,On-site work
2023,Entry-level,Full-time,Data Engineer,85000,On-site work
2023,Entry-level,Full-time,Data Engineer,65000,On-site work
2023,Mid-level,Full-time,Data Engineer,125000,On-site work
2023,Mid-level,Full-time,Data Engineer,90000,On-site work
2023,Senior,Full-time,Data Analyst,105000,Full remote
2023,Senior,Full-time,Data Analyst,90000,Full remote
2023,Senior,Full-time,Analytics Engineer,179820,On-site work
2023,Senior,Full-time,Analytics Engineer,143860,On-site work
2023,Senior,Full-time,Data Analyst,135000,On-site work
2023,Senior,Full-time,Data Analyst,105500,On-site work
2023,Entry-level,Full-time,Research Engineer,155000,On-site work
2023,Entry-level,Full-time,Research Engineer,125000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,241000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,181000,On-site work
2023,Senior,Full-time,Data Scientist,252000,On-site work
2023,Senior,Full-time,Data Scientist,154000,On-site work
2023,Executive,Full-time,Data Architect,180000,On-site work
2023,Executive,Full-time,Data Architect,155000,On-site work
2023,Senior,Full-time,Data Scientist,191765,On-site work
2023,Senior,Full-time,Data Scientist,134236,On-site work
2023,Senior,Full-time,Data Scientist,175000,Full remote
2023,Senior,Full-time,Data Scientist,145000,Full remote
2023,Senior,Full-time,Data Scientist,237000,Full remote
2023,Senior,Full-time,Data Scientist,145000,Full remote
2023,Entry-level,Full-time,Research Engineer,155000,On-site work
2023,Entry-level,Full-time,Research Engineer,125000,On-site work
2023,Senior,Full-time,Data Analyst,80000,On-site work
2023,Senior,Full-time,Data Analyst,70000,On-site work
2023,Senior,Full-time,Data Engineer,146000,On-site work
2023,Senior,Full-time,Data Engineer,75000,On-site work
2023,Entry-level,Full-time,Data Analyst,64200,Full remote
2023,Entry-level,Full-time,Data Analyst,56100,Full remote
2023,Senior,Full-time,Machine Learning Engineer,170000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,130000,On-site work
2023,Senior,Full-time,Data Analyst,208450,Full remote
2023,Senior,Full-time,Data Analyst,170550,Full remote
2023,Senior,Full-time,Machine Learning Engineer,125000,On-site work
2023,Senior,Full-time,Machine Learning Engineer,100000,On-site work
2023,Mid-level,Full-time,Data Manager,135000,On-site work
2023,Mid-level,Full-time,Data Manager,120000,On-site work
2023,Senior,Full-time,Data Scientist,200000,Full remote
2023,Senior,Full-time,Data Scientist,170000,Full remote
2023,Senior,Full-time,Data Scientist,171250,On-site work
2023,Senior,Full-time,Data Scientist,113750,On-site work
2023,Senior,Full-time,Applied Scientist,222200,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Senior,Full-time,Applied Scientist,260000,On-site work
2023,Senior,Full-time,Applied Scientist,136000,On-site work
2023,Senior,Full-time,Data Analyst,153600,On-site work
2023,Senior,Full-time,Data Analyst,100500,On-site work
2023,Senior,Full-time,Applied Scientist,205000,Full remote
2023,Senior,Full-time,Applied Scientist,184000,Full remote
2023,Senior,Full-time,Machine Learning Engineer,115000,Full remote
2023,Senior,Full-time,Machine Learning Engineer,95000,Full remote
2023,Mid-level,Full-time,Data Analyst,182500,On-site work
2023,Mid-level,Full-time,Data Analyst,121500,On-site work
2023,Senior,Full-time,Data Engineer,203100,On-site work
2023,Senior,Full-time,Data Engineer,114500,On-site work
2023,Mid-level,Full-time,Data Analyst,72914,On-site work
2023,Mid-level,Full-time,Data Analyst,54685,On-site work
2023,Senior,Full-time,Data Engineer,252000,On-site work
2023,Senior,Full-time,Data Engineer,129000,On-site work
2023,Entry-level,Full-time,Data Engineer,92700,Full remote
2023,Entry-level,Full-time,Data Engineer,61800,Full remote
2023,Senior,Full-time,Data Engineer,160000,Full remote
2023,Senior,Full-time,Data Engineer,130000,Full remote
2023,Senior,Full-time,Data Scientist,258000,On-site work
2023,Senior,Full-time,Data Scientist,190000,On-site work
2023,Senior,Full-time,Data Scientist,170000,On-site work
2023,Senior,Full-time,Data Scientist,135000,On-site work
2023,Mid-level,Full-time,Data Architect,167500,On-site work
2023,Mid-level,Full-time,Data Architect,106500,On-site work
2023,Senior,Full-time,Data Scientist,195000,On-site work
2023,Senior,Full-time,Data Scientist,160000,On-site work
2023,Mid-level,Full-time,Data Engineer,146000,On-site work
2023,Mid-level,Full-time,Data Engineer,75000,On-site work
2022,Entry-level,Full-time,Data Engineer,59888,Full remote
2023,Executive,Full-time,Data Engineer,286000,Full remote
2023,Executive,Full-time,Data Engineer,207000,Full remote
2023,Senior,Full-time,Data Analyst,100000,Full remote
2023,Senior,Full-time,Data Analyst,80000,Full remote
2023,Senior,Full-time,Data Engineer,223250,On-site work
2023,Senior,Full-time,Data Engineer,178600,On-site work
2023,Executive,Full-time,Director of Data Science,353200,On-site work
2023,Executive,Full-time,Director of Data Science,249300,On-site work
2023,Mid-level,Full-time,Machine Learning Scientist,230000,On-site work
2023,Mid-level,Full-time,Machine Learning Scientist,220000,On-site work
2023,Senior,Full-time,Data Scientist,297300,Full remote
2023,Senior,Full-time,Data Scientist,198200,Full remote
2023,Mid-level,Full-time,Research Scientist,210000,Full remote
2023,Mid-level,Full-time,Research Scientist,151800,Full remote
2023,Senior,Full-time,Data Scientist,200000,Full remote
2023,Senior,Full-time,Data Scientist,170000,Full remote
2023,Senior,Full-time,Data Scientist,317070,On-site work
2023,Senior,Full-time,Data Scientist,170730,On-site work
2023,Senior,Full-time,Data Engineer,128000,On-site work
2023,Senior,Full-time,Data Engineer,81500,On-site work
2023,Entry-level,Full-time,Business Data Analyst,21461,On-site work
2023,Senior,Full-time,AI Developer,108000,On-site work
2023,Senior,Full-time,AI Developer,60000,On-site work
2023,Mid-level,Full-time,MLOps Engineer,134000,Full remote
